person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Gina Stan,ginastan,ginastan@post.ro,8400531092867,1937-05-21,"Strada Oprea Nr. 956, Aiud, 919971",0759 573 874,74:e1:99:d3:b9:38,105.215.96.135,RO08SGMD0572840229017797,2025-07-01 22:34:47,34334,247,39,1056255,04d35a72-a12e-44f6-9434-5952a458f355
Andrada Preda,andradapreda,andradapreda@email.ro,7310225093371,1915-05-05,"Bulevardul Mazilescu Nr. 841 Bl. 15  Sc. 22 Ap. 671, Dobroesti, 666060",0722 354 213,55:55:f3:61:98:78,51.9.49.20,RO82UERX7631356311305019,2025-07-01 22:34:47,8090,281,512,1365143,40677034-434a-46d2-8357-0c1e54b25acc
Atena Popescu,atenapopescu,atenapopescu@acasa.ro,8780110241039,1959-11-16,"Soseaua Visarion Cristea, Valea Mare (Babeni), 257220",0263 471 290,ad:50:ac:07:6c:d8,25.201.33.143,RO89BUUH8021254253856842,2025-07-01 22:34:47,12099,202,4,633113,6de6b35f-5c19-4091-b841-ec1363ad01f5
Estera Nistor,esteranistor,esteranistor@zzup.ro,2550119127475,1913-02-13,"Soseaua Manole, Apahida, 783667",0762 461 704,73:34:87:2e:83:50,173.21.182.180,RO13FVSE9210439810845910,2025-07-01 22:34:47,29534,383,337,1226829,630cd3a4-d994-4bc9-b907-93ddb3275d71
Sofia Tabacu,sofiatabacu,sofiatabacu@gmail.com,8320931352890,1911-09-21,"Intrarea Stancu Nr. 13, Oltenita, 716823",0244 564 107,bb:59:ec:fd:f2:cc,50.229.217.169,RO37OWGM1190220267244442,2025-07-01 22:34:47,25006,197,12,609515,4cad2e4e-76c3-4f46-9f4e-eed78fb3c467
Pamfil Dima,pamfildima,pamfildima@acasa.ro,4521025187971,1966-10-12,"Soseaua Diaconescu Nr. 56, Barlad, 723874",0767 865 062,d4:54:aa:ea:1a:ab,166.78.164.152,RO50EQWO9577624249472676,2025-07-01 22:34:47,21615,934,73,127097,7eaf8862-e513-43be-b789-30a5f1252f78
Otilia Albu,otiliaalbu,otiliaalbu@zzup.ro,6070216469532,1974-10-26,"Soseaua Ioniță Nr. 43, Gilau, 835656",0770 571 360,0c:3a:89:b9:b2:5c,70.154.118.88,RO27AQMT1731517497295853,2025-07-01 22:34:47,28804,769,773,561784,afcc47f8-f294-44f4-80f4-8a7c9deda6a6
Magdalena Dobre,magdalenadobre,magdalenadobre@gmail.com,3980903118620,2005-06-30,"Aleea Sabin Ardelean Nr. 69 Bl. 75  Sc. 56 Ap. 566, Rucar, 766447",0760 030 021,9f:4c:f9:65:fd:db,209.167.83.217,RO37ETWN5927166057197508,2025-07-01 22:34:47,4789,247,690,1370303,ac65e067-aa73-4774-9890-05a82d1cf65a
Ion Nemeș,ionnemeș,ionnemeș@kappa.ro,1680719047273,1951-03-05,"Aleea Nistor Nr. 960 Bl. 55  Sc. 38 Ap. 450, Vicovu de Sus, 558297",0269 091 257,86:17:06:b5:58:12,99.111.205.40,RO35HIMQ9204028265304735,2025-07-01 22:34:47,645,889,178,1031379,82bc91aa-e22b-4a11-b48f-c4dcfe3a6e29
Ecaterina Dinu,ecaterinadinu,ecaterinadinu@gmail.com,7820705356221,1954-10-23,"Strada Diaconescu, Targoviste, 916537",0238 878 201,3e:78:c5:b1:bd:1e,48.116.139.111,RO49CLHE4263579884372069,2025-07-01 22:34:47,32159,919,26,389125,556b5240-277e-4f1a-af78-1fb1c20352bf
Ioana Tudor,ioanatudor,ioanatudor@141.ro,3500617399026,1937-07-21,"Aleea Dima Nr. 567 Bl. 28  Sc. 59 Ap. 453, Beius, 723471",0753 243 062,22:d2:70:79:31:59,116.229.36.173,RO82CHIM7870602693253407,2025-07-01 22:34:47,23357,308,213,1261019,940eac9a-c652-4e1e-b24a-a9b353ee858e
Emil Albu,emilalbu,emilalbu@acasa.ro,2030903288108,2002-05-28,"Intrarea Dochioiu Nr. 752 Bl. 66  Sc. 13 Ap. 453, Fagetel (Remetea), 748603",0733 592 161,5a:48:84:ec:78:ea,109.249.184.166,RO75UEFM6358697315560118,2025-07-01 22:34:47,15871,827,472,968203,d9cf491d-60b5-48b5-810b-73ed8a6128f8
Oliviu Popescu,oliviupopescu,oliviupopescu@acasa.ro,8550214271783,2011-12-21,"Intrarea Eusebia Popescu Nr. 762 Bl. 30  Sc. 98 Ap. 907, Dumbraveni, 635852",0727 222 542,7a:e2:ef:da:08:1d,23.176.126.117,RO46HYMT1637914877636534,2025-07-01 22:34:47,2876,766,304,151252,d9e622a9-5e1d-4893-ab1d-31fc49c8ec72
Eugenia Dinu,eugeniadinu,eugeniadinu@gmail.com,7650316325563,2000-02-19,"Drumul Georgescu Nr. 777, Ineu, 293466",0268 220 567,8e:85:b4:0e:4e:2d,193.251.75.204,RO68BOCK3254800667612655,2025-07-01 22:34:47,14121,744,507,1108627,4b776c91-743f-4917-a3fe-4d221687f7e8
Safta Eftimie,saftaeftimie,saftaeftimie@gmail.com,8450122068034,1964-03-29,"Soseaua Niță, Hunedoara, 952001",0234 056 037,13:b2:0a:15:29:97,106.36.33.145,RO78MPCW8376058004289190,2025-07-01 22:34:47,6488,953,65,1753553,8c523997-6c23-4aba-af71-138d0bb78dce
Tudora Stan,tudorastan,tudorastan@email.ro,5030527241424,1945-08-23,"Strada Aanei Nr. 31 Bl. 41  Sc. 66 Ap. 460, Calan, 601539",0263 641 521,fe:da:58:19:1b:41,134.246.179.135,RO52ZKWM9829596004214571,2025-07-01 22:34:47,33395,493,447,1917876,b618e2c6-db5d-4eca-aa07-10f418bccc26
Petruț Oprea,petruțoprea,petruțoprea@zzup.ro,6770115164642,1956-12-02,"Soseaua Iridenta Pop Nr. 46, Cajvana, 138776",0757 763 477,7d:df:36:79:6c:e3,119.214.245.164,RO03QKKQ0244240000761795,2025-07-01 22:34:47,14773,900,63,499769,ffb1bb92-0307-490b-9daf-985adb04df04
Lavinia Dochioiu,laviniadochioiu,laviniadochioiu@gmail.com,3690511101617,1936-08-12,"Strada Tomescu, Vatra Dornei, 541330",0726 938 298,f8:ad:3c:ae:f6:50,14.48.252.85,RO31XQIH8472140162568260,2025-07-01 22:34:47,3593,292,198,501939,b66cf0d6-5967-40e9-9d30-8b4ee374e0da
Gabriela Manole,gabrielamanole,gabrielamanole@zzup.ro,2140504107237,1945-10-06,"Bulevardul Florentin Voinea Nr. 540 Bl. 69  Sc. 84 Ap. 251, Toflea, 810526",0262 560 134,85:df:7f:57:83:bd,211.207.120.180,RO55SLYG2226729267044796,2025-07-01 22:34:47,32116,495,753,1850093,f3b9b568-f2db-4d9a-8212-2d581eb52e82
Dora Ioniță,doraioniță,doraioniță@kappa.ro,7790929062736,1925-09-05,"Bulevardul Dochioiu Nr. 291 Bl. 22  Sc. 62 Ap. 906, Turnu Magurele, 245188",0248 580 236,92:78:f4:65:61:a4,59.154.4.199,RO50MOIS8498951775902375,2025-07-01 22:34:47,24565,601,279,199939,39282c9f-1212-44ae-a089-709c01af5585
Cedrin Nemeș,cedrinnemeș,cedrinnemeș@email.ro,4390504225379,1987-01-14,"Drumul Lucreția Pop Nr. 44, Vulcan, 494429",0726 470 924,a7:11:71:58:e0:59,163.225.213.214,RO53ROQR8337741670249980,2025-07-01 22:34:47,9134,678,367,1112881,6d6c6261-418e-4bb4-b7c1-3e880970544c
Claudiu Marin,claudiumarin,claudiumarin@acasa.ro,3681108198553,2018-12-17,"Intrarea Georgescu Nr. 773 Bl. 93  Sc. 18 Ap. 339, Braila, 269648",0761 758 682,74:89:88:7d:9b:fd,66.176.250.241,RO44EBJV2696876478232377,2025-07-01 22:34:47,27932,418,16,1183561,b491093b-69cb-4eca-9b4a-769ee7363cd2
Adelin Tomescu,adelintomescu,adelintomescu@email.ro,1440918425993,2015-12-27,"Soseaua Adriana Popa, Berceni, 998811",0266 191 846,3a:ef:be:55:bd:9b,23.250.98.162,RO87PJWW5988298561478096,2025-07-01 22:34:47,4121,167,74,1859218,7122a4a2-2f8b-4ae9-a510-bfccb9f747b5
Nichifor Ababei,nichiforababei,nichiforababei@zzup.ro,5660210304553,1920-05-12,"Strada Tabacu, Bistrita, 421020",0730 913 176,3a:6e:94:04:94:ac,191.15.110.89,RO37XHUM4151121727939883,2025-07-01 22:34:47,4320,790,11,535730,167b3243-4b6d-43dd-9639-221d161f219d
Ion Pop,ionpop,ionpop@zzup.ro,6560916174237,1946-10-28,"Drumul Ileana Dochioiu Nr. 18, Timisoara, 943452",0762 782 099,12:fd:9b:30:89:7b,89.37.113.26,RO21UILO0729840510007642,2025-07-01 22:34:47,21692,966,222,1789049,5b9f44f3-7e5c-4723-a40d-3259b48bdcf6
Rada Ene,radaene,radaene@141.ro,5010216072791,1987-09-19,"Bulevardul Barbu Nr. 773 Bl. 93  Sc. 15 Ap. 235, Sighisoara, 858069",021 487 1331,94:f9:94:ca:07:50,122.166.134.216,RO02WYOH6431051661893838,2025-07-01 22:34:47,26668,503,79,1717585,d9b6f045-58bc-4358-b713-91fe32d65da2
Bucur Pușcașu,bucurpușcașu,bucurpușcașu@acasa.ro,6470419391085,1935-01-22,"Drumul Cristea Nr. 94, Navodari, 688093",0736 804 544,fe:64:08:7d:b5:f7,124.126.25.53,RO27RGPN2834492768973010,2025-07-01 22:34:47,4902,698,588,248538,0b993f00-5c31-4dfa-a180-7718a4c0f7ba
Șerban Florea,șerbanflorea,șerbanflorea@zzup.ro,7681004168140,1928-09-07,"Intrarea Ardelean Nr. 514 Bl. 94  Sc. 92 Ap. 866, Calan, 657033",0736 828 293,29:08:21:ef:52:aa,37.9.138.50,RO49JIMQ5709832681935509,2025-07-01 22:34:47,7097,175,78,864243,673e9a9e-096b-4ae9-9d8f-141b22bdbfda
Zenobia Dinu,zenobiadinu,zenobiadinu@gmail.com,7590809186516,1990-09-13,"Aleea Eliza Suciu, Campulung, 889298",0743 243 108,31:83:e0:5f:8d:8e,109.99.142.197,RO06SPPK7388272696626770,2025-07-01 22:34:47,8633,476,621,96991,83ad2a93-0424-497d-b522-9d92e41072c9
Olivia Stancu,oliviastancu,oliviastancu@kappa.ro,6420306229713,2022-01-25,"Aleea Mălina Suciu Nr. 440, Homocea, 102426",0252 355 371,63:d2:1f:35:41:3f,98.215.48.162,RO48GWFU4235315341623163,2025-07-01 22:34:47,24291,636,693,1286801,cc62aa37-b76a-4414-9b63-d5240aa4a612
Zenovia Ioniță,zenoviaioniță,zenoviaioniță@post.ro,6950726186137,2015-08-25,"Soseaua Mihail Ionescu, Teius, 302818",0723 724 596,cb:43:28:2f:40:a4,39.222.34.219,RO37FIXE9695988463339366,2025-07-01 22:34:47,33090,26,476,32700,41b7f543-e60a-4a7a-b072-64c6694a684c
